245__a-1    
Discours du Roi ˆ l'ouverture
Kart over Bratsbergs-Amt forfattet ifšlge
Kart over Neden¾s og Robygdelagets
Rapport au Congrs international de
Kart over Tromsš Amt :
Told-Rulle, huor effter Tr¾last Tolden
Den Vel-®dle og Velbyrdige, nu
[Diverse kgl. instrukser og kunngj¿ringer
Jeg er med : uttalelser
[Utkast til noen bemerkninger om
Generalkondukt¿r Christopher Hammer (1720-1804) og
[Dansebok : dansemelodier og beskrivelse
[Regnskapsbok] [manuskript]   
[Skattetakst og branntakst] [manuskript] 
The image of America in
Skipper B¿res Drapa  
Cyprianus eller Svartbogen  
Norske Mindesm¾rker aftegnede paa en
Gjenlyd fra Norge : helliget
Visestadtholder Friderich Gabels, biskop Hans
Love for Ballselskabet af 6te
Scener, hentede fra Livets Skueplads,
Fors¿g til en stedsvarende meteorologisk
Forklaring over Loven og Evangelium,
Sang i Anledning af Hans
Den agtv¾rdige Hr. Pastor Reins
Epicedium trilingvae Latino-graeco-norvegianum in obitum
De fidei salvificae principio ac
Secunda in Timaeum Platonis exercitatio
Den Storm¾gtigste og H¿ybaarne Arffve-Konnings
Gier : ein Unterhaltungsroman Elfriede
[Brev og regninger til W.H.
Fr¿ken-contorernes ud¿delige navnes ynkelige ruin
Samling af de nyeste engelske
Placat, hvorved Forbud mod Handel
Kongelig Placat, hvorved Handel og
[Anmerkninger, s¾rlig angŒende sprŒklige problemer]
Reglement og Anordning for Cathedral-Skolen
Meteorographia compendiosa, eller en kort
Mindeblomster paa Michael Rosings grav
Nors Tale til Dana C.J.
Sandhed til Gudfrygtighed : udi
Den Spillendes Tidsfordriv : bestaaende
Oversigt over Stipendier til videnskabelige
Praktisk Haandbog i Schakspil :
Riksforsamlingens forhandlinger ved Tycho C.
Til mine Landsm¾nd, der have
Politisk Lomme-Bog til hver Mands
[En Opfordring til at forene
De to Systemer af den
Forordning huorledis i Pest, Blodsot,
En sandf¾rdig Beretning om et
Galvanoplastik : neues Verfahren durch
Mester Cyprianus eller Svartbogen 
A treatise on the game
Nogle Anm¾rkninger om Mandals Pr¾stegield
Cyprianus eller Swart-Bogen med Anm¾rkninger
Chymisk-Oeconomisk Afhandling om ¯l og
Chymisk-Oeconomisk Afhandling om ¯l og
Brev Vexling om Melboestadske Rhabarber
Beskrivelse over Romsdals, Nordm¿er og
Catalogus librorum atque rerum naturalium
Med st¿v pŒ hjernen Eva
Les quatre premiers livres des
[Andragende til Den kongelige norske
Norska texten till den svenska
TacksŠgelse, hŒllen i Kungl. Hofcapellet
TacksŠgelse i anledning af den
Sverre Pedersens arkiv : katalog
Contract [mellom Frieldlieb Rosbach og
Skillingsviser 1558-1951 i Det kgl.
Salig-afgangne Provst og Sognepr¾st Peder
Sang for Harmonien i Anledning
Om Baldandse i Almindelighed og
KlŸwer-Familiens Historie af Lorentz Diderich
KlŸwer-Familiens Historie af Lorentz Diderich
Fors¿g Til En nye Abc-Bog,
Fortegnelse over Tronhjems Kj¿bstads Borgere
Tal šfwer freden i Kiel,
Biskop Erich Bredal vedkommende [manuskript]
[GŒrdsdokumenter] [Skj¿ter og andre dokumenter
[Brev] Copie af Hr. Buchners
[Forhandlinger mellom Stiftsdireksjonen, Thomas von
[Brev vedkommende den nordlandske misjon
[Statistiske opplysninger om Nordlandene] [manuskript]
[Brev til Thomas Heftye] [manuskript]
Momenter til Stiftamtmand Wilhelm Frimann
Brev fra stattholder Christian Rantzau
[VŒpenbok] [manuskript]   
Don Ranudo de Colibrados, eller
De Danske Comoediers Lig-begi¾ngelse [manuskript]
Don Ranudo de Colibrados, eller
De Danske Comoediers Lig-begi¾ngelse [manuskript]
[Beskrevne palmeblader med tamilsk eller
[Alfabetisk tavle over de malebariske
[Svartebok fra B¿ i VesterŒlen
[Tegninger av norske primstaver, kopiert
[Brevveksling mellom Nicolai og Harald
[Dansebok] [manuskript]   
Sang for Arendals Skydeselskab den
Flockœrenn Att_ar-Haattœr ... Hallgrijmur Peturs
Buccina Polaris : [Nordlands Trompet]
Buccina Polaris : [Nordlands Trompet]
Al_hings B¾kur [manuskript]  
Theses de usu Autorum Graecorum
Placat : opslagen paa Kirkemurerne
Om Aarsagen til T¾le og
Thr¿ndernes paat¾nkte Addresse [sic!] [manuskript]
Trysil-Knud : [dikt] [manuskript] 
Haralds Eve : [d.e.] et
[Tale] Christian Friderick [manuskript] 
En Kaprice : dramatisk Divertissement
Den Klippe Hornelen : til
Sinfonia a 6 : Violino
Cantata : opf¿rt af Det
Sinfonia a Violino 1mo, Violino
Concerto a 5 : Violino
Sinfonia : Violino Primo, Violino
Sinfonia a 6 : Violino
[Kart over omrŒdet ved Tune
[Kart over Tune] [Lorentz Diderich
West Raade omtrent 600 Alen
[Kart over Slottsfjellet, T¿nsberg] [Lorentz
[Kart over Teie gŒrd, T¿nsberg]
Kort Afridsning over Mandals Pr¾stegield
[Kart over Sverresborg, Trondheim] [Lorentz
Kart over Stenvigholmen og Ruinerne
[Steene Skandse] [Lorentz Diderich KlŸwer]
Kaart over Sletterne ved Stiklestad
Alfshaugen ved Alfstahaug Kirke i
[Halsteen Skandse i Levangerskognen] [Lorentz
Kart over Ruinerne af Munkeby
Kaart over Levningerne af Skaugn¾s
Kaus-Tangen [Lorentz Diderich KlŸwer] [manuskript]
Kart over en Deel af
Rygge Kirke fra Nord [Lorentz
Tomb : fra vestre Side
Anhang : inneholdende nogle antiqvariske
Uddrag af L. D. KlŸwers
[Lofthusst¿tten i Christiania] : tegnet
C. Hammers udkast til Beskrivelse
Concerto a 5 : Violino
Sinfonia a 6 Instrumenti :
Concerto a 5 : Violino
Concerto : a 4 violino,
Dagen er oppe : Hanen
[Notebok] [manuskript]   
Sonata per il cembalo e
Sonata per il cembalo e
Ouverture de Farnace : grand
Sonata per il clavecin ou
Node Bog for Johan Gjert
Tronhiem i Norge [William Allingham]
Tryllebaandet, eller Dydens Seir [Johan
Danserinderne Healey [Henrik Ibsen] [manuskript]
Theatret [Henrik Ibsen] [manuskript] 
Fanaraaken [Henrik Ibsen] [manuskript] 
Beskrivelse over den gamle og
Journal og Annotata over den
Danse-Bog, Ki¿benhavn 1753 [manuskript] 
Carte over Gr¿ttens Pr¾stegield i
Carte over Wed¿ens Pr¾stegield i
Carte over det Nordre Pr¾stegield
[Preken ved takkegudstjenesten ved fredsslutningen
Det Cenobitiske Videnskabers Selskab I
Fransk Orden kaldet Solens Orden
Geographisk kort over Hadeland i
[botsforretning (1730-09-11) pŒ Gran prestegŒrd]
Steene Skandse [manuskript]  
Referat av v.d. Lasa: Zur
Kart over Ruinerne af Tutterše
Kart over Ruinerne af Reine
Kaart over Oldeminderne ved Kongs-Eeg
Kort Beskrivelse over een Vores
En Besigtelses Forretning over Vard¿huus
Botaniske Bem¾rkninger gjorte paa en
[Skj¿ter] [manuskript]   
Manuskript [manuskript]   
